1,0:1,46:1,712:0.25,714:0.8125,716:0.0,718:0.0,720:0.0,722:0.00663029214725,724:0.8125,726:0.25,728:0.5625,6|2|5:1,
0,1:1,711:1,712:0.1875,714:0.3125,716:0.0,718:0.0,720:0.0,722:0.00248635955522,724:0.3125,726:0.125,728:0.125,8|4|4:1,
1,1:1,55:1,712:0.0625,714:0.75,716:0.0,718:0.0,720:0.0,722:6.90655432005e-05,724:0.75,726:0.0625,728:0.75,7|8|6:1,
1,2:1,25:1,712:0.0625,714:0.8125,716:0.0,718:0.0,720:0.0,722:0.00151944195041,724:0.8125,726:0.0625,728:0.8125,10|1|8:1,
0,1:1,711:1,712:0.0625,714:0.1875,716:0.0,718:0.0,720:0.0,722:0.0121555356033,724:0.1875,726:0.0625,728:0.1875,9|9|5:1,
0,1:1,78:1,712:0.125,714:0.875,716:0.0,718:0.0,720:0.0,722:0.00193383520961,724:0.875,726:0.125,728:0.5625,3|4|10:1,
0,0:1,55:1,712:0.0625,714:0.875,716:0.0,718:0.0,720:0.0,722:0.000552524345604,724:0.875,726:0.0625,728:0.875,4|5|7:1,
0,1:1,85:1,712:0.0625,714:0.375,716:0.0,718:0.0,720:0.0,722:0.00276262172802,724:0.375,726:0.0625,728:0.375,10|8|7:1,
1,1:1,78:1,712:0.3125,714:1.0,716:0.0,718:0.0,720:0.0,722:0.00428206367843,724:1.0,726:0.3125,728:0.75,8|6|3:1,
1,1:1,21:1,712:0.125,714:0.5625,716:0.0,718:0.0,720:0.0,722:0.000966917604807,724:0.5,726:0.0625,728:0.5,4|4|6:1,
0,1:1,15:1,712:0.0625,714:0.8125,716:0.0,718:0.0,720:0.0,722:0.0,724:0.0,726:0.0,728:0.8125,7|2|9:1,
1,1:1,257:1,712:0.0625,714:0.9375,716:0.0,718:0.0,720:0.0,722:0.00801160301126,724:0.9375,726:0.0625,728:0.9375,6|2|1:1,
0,2:1,15:1,712:0.0625,714:0.4375,716:0.0,718:0.0,720:0.0,722:0.0,724:0.0,726:0.0,728:0.4375,3|9|1:1,
0,0:1,117:1,712:0.25,714:0.8125,716:0.0,718:0.0,720:0.0,722:0.0354996892051,724:0.8125,726:0.25,728:0.375,3|9|6:1,
1,0:1,25:1,712:0.375,714:0.6875,716:0.0,718:0.0,720:0.0,722:0.034463706057,724:0.5625,726:0.3125,728:0.3125,4|4|8:1,
1,1:1,711:1,712:0.375,714:1.0,716:0.0,718:0.0,720:0.0,722:0.0634712342013,724:1.0,726:0.375,728:0.5,6|4|5:1,
1,0:1,335:1,712:0.1875,714:1.0,716:0.0,718:0.0,720:0.0,722:0.00656122660405,724:1.0,726:0.1875,728:0.875,5|4|10:1,
0,0:1,28:1,712:0.0625,714:0.375,716:0.0,718:0.0,720:0.0,722:0.0,724:0.0,726:0.0,728:0.375,1|7|6:1,
1,0:1,14:1,712:0.4375,714:1.0,716:0.0,718:0.0,720:0.0,722:0.033082395193,724:1.0,726:0.4375,728:0.625,3|7|7:1,
1,1:1,86:1,712:0.0625,714:0.625,716:0.00523560209424,718:0.625,720:0.0625,722:0.000552524345604,724:0.625,726:0.0625,728:0.625,6|9|6:1,
0,0:1,37:1,712:0.0625,714:0.9375,716:0.0,718:0.0,720:0.0,722:0.000897852061606,724:0.9375,726:0.0625,728:0.9375,3|2|9:1,
0,0:1,107:1,712:0.0625,714:0.875,716:0.0,718:0.0,720:0.0,722:0.00379860487603,724:0.875,726:0.0625,728:0.875,8|6|4:1,
0,2:1,477:1,712:0.0625,714:0.375,716:0.0,718:0.0,720:0.0,722:0.000414393259203,724:0.375,726:0.0625,728:0.375,5|4|10:1,
1,7:1,581:1,712:0.0625,714:1.0,716:0.0,718:0.0,720:0.0,722:0.00476552248083,724:1.0,726:0.0625,728:1.0,10|3|5:1,
